Exercise Name,Male Video Filename,Female Video Filename
3 4 Sit Up,00011201-3-4-Sit-up_Waist-FIX_.mp4,24761201-3-4-Sit-up-(female)_Waist.mp4
45 Degree Hyperextension (Arms In Front Of Chest),58131201-45-degree-Hyperextension-(arms-in-front-of-chest)-.mp4,08771201-45-degree-hyperextension-(arms-in-front-of-chest)_Back.mp4
45 Degree Twisting Hyperextension,73671201-45-degree-Twisting-Hyperextension-(male)_Hips_.mp4,11711201-45-degree-twisting-hyperextension_Hips.mp4
90 To 90 (Beginner),96561201-90-to-90-(beginner)-(male)_Hips_.mp4,80701201-90-to-90-(beginner)-(female)_Hips_.mp4
90 To 90 Lean,85291201-90-to-90-Lean-(male)_Hips_.mp4,77671201-90-to-90-Lean-(female)_Hips_.mp4
90 To 90 Stretch,67101201-90-to-90-Stretch-(male)_Stretching_.mp4,65601201-90-to-90-Stretch-(female)_Stretching_.mp4
90 To 90 Switch,85431201-90-to-90-Switch-(male)_Stretching_.mp4,78981201-90-to-90-Switch-(female)_Stretching_.mp4
Ab Twist Toe Tap,87861201-Ab-Twist-Toe-Tap-(male)_Waist_.mp4,84021201-Ab-Twist-Toe-Tap-(female)_Waist_.mp4
Adductor Stretch,45121201-Adductor-Stretch-(male)_Hips.mp4,09361201-Adductor-Stretch-(female)_Hips.mp4
Air Punches March,98531201-Air-Punches-March-(male)_Plyometrics_.mp4,55501201-Air-Punches-March-(female)_Plyometrics_.mp4
Alternate Ankle Tap Under Sit Agains Wall,89581201-Alternate-Ankle-Tap-Under-Sit-agains-Wall-(male)_H.mp4,87661201-Alternate-Ankle-Tap-Under-Sit-agains-Wall-(female).mp4
Alternate Heel Tap Sit Agains Wall,89571201-Alternate-Heel-Tap-Sit-agains-Wall-(male)_Calves_.mp4,87651201-Alternate-Heel-Tap-Sit-agains-Wall-(female)_Calves.mp4
Alternate Heel Touchers,00061201-Alternate-Heel-Touchers_waist.mp4,38011201-Alternate-Heel-Touchers-(female)_waist.mp4
Alternate Knee Cross Over Sit Agains Wall,89631201-Alternate-Knee-Cross-Over-Sit-agains-Wall-(male)_H.mp4,87671201-Alternate-Knee-Cross-Over-Sit-agains-Wall-(female).mp4
Alternate Leg Kick Sit Agains Wall,89661201-Alternate-Leg-Kick-Sit-agains-Wall-(male)_Thighs_.mp4,87701201-Alternate-Leg-Kick-Sit-agains-Wall-(female)_Thighs.mp4
Alternate Oblique Crunch,43541201-Alternate-Oblique-Crunch_Waist_.mp4,52801201-Alternate-Oblique-Crunch-(female)_Waist_.mp4
Alternate Obliques Pulse Twist Side Reach,89091201-Alternate-Obliques-Pulse-Twist-Side-Reach-(male)_W.mp4,89241201-Alternate-Obliques-Pulse-Twist-Side-Reach-(female).mp4
Alternating Ankle Touch,56381201-Alternating-Ankle-Touch-(male)_Plyometrics_.mp4,56251201-Alternating-Ankle-Touch-(female)_Plyometrics_.mp4
Alternating Hamstring Curl With Punche,44371201-Alternating-Hamstring-Curl-with-Punche_Plyometrics.mp4,54851201-Alternating-Hamstring-Curl-with-Punche-(female)_Pl.mp4
Arm Circle Stepback,56101201-Arm-Circle-Stepback-(Male)_Plyometrics_.mp4,56171201-Arm-Circle-Stepback-(female)_Plyometrics_.mp4
Arm Crossover Chest Out,66301201-Arm-Crossover-Chest-Out-(male)_Chest_.mp4,53571201-Arm-Crossover-Chest-Out-(female)_Chest_.mp4
Arm Crossover Curtsy,55921201-Arm-Crossover-Curtsy-(Male)_Plyometrics_.mp4,66421201-Arm-Crossover-Curtsy-(female)_Plyometrics_.mp4
Arm Double Crossover,88831201-Arm-Double-Crossover-(male)_Chest_.mp4,53651201-Arm-Double-Crossover-(female)_Chest_.mp4
Arms Circle Marching On Spot,85821201-Arms-Circle-Marching-On-Spot-(male)_Plyometrics_.mp4,71911201-Arms-Circle-Marching-On-Spot-(female)_Plyometrics_.mp4
Around The World Lying On Floor,82721201-Around-the-World-Lying-on-Floor-(male)_Back_.mp4,63051201-Around-the-World-Lying-on-Floor-(female)_Back_.mp4
Around The World Superman,89491201-Around-the-World-Superman-(male)_Hips_.mp4,87591201-Around-the-World-Superman-(female)_Hips_.mp4
Assisted Hyperextension,83591201-Assisted-Hyperextension-(male)_Hips_.mp4,79891201-Assisted-Hyperextension-(female)_Hips_.mp4
Assisted Parallel Close Grip Pull Up,00151201-Assisted-Parallel-Close-Grip-Pull-up_Back-FIX_.mp4,97561201-Assisted-Parallel-Close-Grip-Pull-up-(female)_Back.mp4
Assisted Pull Up,00171201-Assisted-Pull-up_Back.mp4,25291201-Assisted-Pull-up-(female)_Back_.mp4
Assisted Triceps Dip (Kneeling),00191201-Assisted-Triceps-Dip-(kneeling)_Upper-Arms.mp4,25751201-Assisted-Triceps-Dip-(kneeling)-(female)_Upper-Arms.mp4
Assisted Weighted Push Up,11721201-Assisted-Weighted-Push-up_Chest.mp4,107181201-Assisted-Weighted-Push-up-(female)_Chest_.mp4
Back Forward Leg Swings,35021201-Back-Forward-Leg-Swings-(male)_Hips_.mp4,25731201-Back-Forward-Leg-Swings-(female)_Hips_.mp4
Back Kick Heel Touches,96441201-Back-Kick-Heel-Touches-(male)_Plyometrics_.mp4,60901201-Back-Kick-Heel-Touches-(female)_Plyometrics_.mp4
